id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0c115eb1a5c0b168,"""
Well, thank you for spouting your ignorant mouth off, moron who can't read policies. You're obviously a foolish anti-semite, since you didn't bother taking any time to read that ridiculous """"marwenmedia"""" site that was linked up as """"proof."""" Go find something useful to do now, please, and stop trying to insert your racism into an encyclopedia.""",1,0,0,0,1,0
192da34ea0938f0e,"""

 POV Tag Vandalism? 

David Starr has re-posted the POV alert tag on this page. I do not feel he ever fully addressed my questions. He is asserting that the page shows overwhelming bias in some way - according to him there are only two specific single line instances that he cites of bias on the page, both in the bio. This does not a biased page make.

I have clearly refuted both of these claims at length, with no response (despite repeated requests) from Starr. 

1) The """"garbage"""" passage is balanced with an explanation from a Da spokesperson. The source is quoted, phrase is neutral, and source (scholar Georg Feuerstein) is not in dispute by Starr. The mention is crucial because it explains the """"controversial"""" aspect in first line of lead, and period is alluded to in Adidam apologies for """"controversial"""" earlier behavior and in the numbers of lawsuits, news articles, and analysis by authorities linked to and discussed in Da page. Also, further explained by Da himself in """"Crazy Wisdom"""" section in teaching.

2) Mention of 1986 breakdown/Divine Emergence. This is a significant event, as attested by Adi Da press. Source is not biased, all mentions of events are phrased neutrally within basic journalistic standards. Balanced with Adi Da self-assessment as personally significant event (about which an entire book was written.)

3)""""Undue weight"""" was shown to be unreasonable, as each line is short without subjective exposition. On balance throughout page, all potentially """"controversial"""" material (in every case sourced, cited, and neutrally phrased) is far outweighed by neutral info and Da """"self-assessment."""" 

Every potentially controversial mention is carefully contextualized and phrased to reflect source, and balanced with an alternate explanation. In every case. 

Source disputes:
1) Gurdjieff Journal: no specific instances of bias are alleged by Starr from this source. Starr is simply questioning the source without saying why it is an issue. Did not address my point that source is only used because it summarizes bio info from Da, Rudi, and Siddha Yoga accounts. No bias is reflected in WP entry, no has any been revealed. And Starr has failed to show how magazine is biased or """"self-published"""" simply making assertion that it is a """"competing religious organization"""" which is simply unproven (there is no Gurdjieff church or """"organization"""").

2) Lake County News: source has been used for other articles, Starr only questions it for single mention that he subjectively finds to his dislike (the Divine Emergence passage). He has not worked to find alternative source that would allow the material about a significant event to remain. Source has been found acceptable to all other editors in past months, as demonstrated by its repeated use. Starr cannot singly enter now and discount source, when not showing WP guideline that effectively discounts it (only his own subjective analysis of the quality of the """"contact"""" page on their website.)

All other editors, including myself, have been involved in give an take on this page, making allowances and corrections for each other - even yesterday I made changes to accommodate other editors, including Starr. I do not feel that Starr is meeting this standard, and in particular completely failed to address my repeated specific requests. Because of this, I am removing the POV tag as vandalism and an attempt to discount page. I have requested third party review, and perhaps further dispute resolution.   """,0,0,0,0,0,0
74d85b8ec09017c7,I can't think of a better source for population statistics than a census. Estimates are great when no one's counted but here we have a count.,0,0,0,0,0,0
bb15e90a8e6a3c1a,""":Rob,  is a malicious administrator who likes to use the """"power"""" that he has been given here on Wikipedia to nitpick and harass well meaning editors. He is a notorious asshole, and it is only a matter of time before enough people get fed up with his antics and DEMAND that his administratorship be revoked! If I were you, I'd just ignore the prick! 24.168.46.100  

""",1,0,1,0,0,0
78b0027db7f44416,Fuck off with your changing of genres of songs you sick motherfucker.,1,0,1,0,1,0
9ab5595cff28ba8e,"Biased Moderators 

The following users overmoderate, , , . They are biased against valid edits made on pages such as Internode_Systems. Instead of commenting on and providing guidance on contributions, they choose to delete contributions that don't reflect their views. They then lock down the pages so users are unable to contribute to them. ,  and  can suck me off.",1,0,0,0,0,0
e8bf4181a4694a28,If you don't think who started it is important I call YOU an IDIOT! IDIOT!,1,0,0,0,1,0
9ac3334a50cca8cf,"Suck a dick you little cunt 

then go and take your uncle deep up your tight little ass",1,0,1,0,1,0
4bd0ad0bac8bb533,"HONDASAREGOODSEZ: (FIRST:I SHOULD BE A NIGGER SWINGING FROM A TREE, AND ONLY GAY SERBS LIKE ME ENJOY MASTURBATING TO TEEN POP IN MY FORD PINTOBEANERNIGGERMEXICAN!",1,0,1,0,1,1
1237fc615cd88601,"Feel Me 

Can someone feel me naked grope my balls (rocks)Just tickle me gentley in the eveing, and grip me with an authoitif hard grope in the morning to wake me up!!!!!",1,0,0,0,0,0
f2e7776fa266aaeb,silly little boy my ass,1,0,1,0,1,0
01425615c007163a,"Bullzeye is a faggot, I'm merely pointing out the obvious.",1,0,1,0,1,1
0e53f3ce01017aa9,"The cause of antisemitic is not neutral at all and misleading and even false. it is true that jews control the media and the banks, do I really have to give you all the name? I can but I won't because wikipedia is . . . jew owned and so biased about it and I will be erased. I just want to tell you guys here that you piece of shit.",1,0,1,0,1,1
72b2fa35da4dd2c3,Again Fuck u FUck u FUCK FUCK FUCK FUCK FUCK UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU,1,1,1,0,1,0
